data;hour;data_dados;confirmados_arsnorte;obitos_arsnorte;nuevos_arsnorte;poblacion_arsnorte;incidencia_14_arsnorte
26/02/2020;0:00:00;26/02/2020 0:00;0;0;0;3689682;0
27/02/2020;0:00:00;27/02/2020 0:00;0;0;0;3689682;0
28/02/2020;0:00:00;28/02/2020 0:00;0;0;0;3689682;0
29/02/2020;0:00:00;29/02/2020 0:00;0;0;0;3689682;0
01/03/2020;0:00:00;01/03/2020 0:00;0;0;0;3689682;0
02/03/2020;0:00:00;02/03/2020 0:00;2;0;2;3689682;0,054205213
03/03/2020;0:00:00;03/03/2020 16:00;2;0;0;3689682;0
04/03/2020;0:00:00;04/03/2020 17:00;3;0;1;3689682;0,027102607
05/03/2020;0:00:00;05/03/2020 17:00;5;0;2;3689682;0,054205213
06/03/2020;0:00:00;06/03/2020 17:00;8;0;3;3689682;0,08130782
07/03/2020;0:00:00;07/03/2020 17:00;15;0;7;3689682;0,189718247
08/03/2020;0:00:00;08/03/2020 17:30;22;0;7;3689682;0,189718247
09/03/2020;0:00:00;09/03/2020 18:45;27;0;5;3689682;0,135513033
10/03/2020;0:00:00;10/03/2020 10:00;27;0;0;3689682;0,73177038
11/03/2020;0:00:00;11/03/2020 0:00;36;0;9;3689682;0,97569384
12/03/2020;0:00:00;12/03/2020 0:00;44;0;8;3689682;1,192514694
13/03/2020;0:00:00;13/03/2020 0:00;53;0;9;3689682;1,436438154
14/03/2020;0:00:00;14/03/2020 0:00;77;0;24;3689682;2,086900714
15/03/2020;0:00:00;15/03/2020 0:00;103;0;26;3689682;2,791568487
16/03/2020;0:00:00;16/03/2020 0:00;138;0;35;3689682;3,685954508
17/03/2020;0:00:00;17/03/2020 0:00;196;0;58;3689682;5,257905695
18/03/2020;0:00:00;18/03/2020 0:00;289;0;93;3689682;7,751345509
19/03/2020;0:00:00;19/03/2020 0:00;381;0;92;3689682;10,19058011
20/03/2020;0:00:00;20/03/2020 0:00;506;1;124;3689682;13,46999552
21/03/2020;0:00:00;21/03/2020 0:00;644;4;135;3689682;16,93912917
22/03/2020;0:00:00;22/03/2020 0:00;825;5;180;3689682;21,62788013
23/03/2020;0:00:00;23/03/2020 0:00;1007;9;178;3689682;26,31663108
24/03/2020;0:00:00;24/03/2020 0:00;1130;14;118;3689682;29,51473867
25/03/2020;0:00:00;25/03/2020 0:00;1517;20;381;3689682;39,59690835
26/03/2020;0:00:00;26/03/2020 0:00;1858;28;333;3689682;48,40525552
27/03/2020;0:00:00;27/03/2020 0:00;2443;33;580;3689682;63,88084393
28/03/2020;0:00:00;28/03/2020 0:00;3035;44;581;3689682;78,97699585
29/03/2020;0:00:00;29/03/2020 0:00;3550;61;498;3689682;91,7694262
30/03/2020;0:00:00;30/03/2020 0:00;3801;74;238;3689682;97,27125535
31/03/2020;0:00:00;31/03/2020 0:00;4452;83;642;3689682;113,0991777
01/04/2020;0:00:00;01/04/2020 0:00;4910;95;446;3689682;122,6663978
02/04/2020;0:00:00;02/04/2020 0:00;5338;107;416;3689682;131,4476424
03/04/2020;0:00:00;03/04/2020 0:00;5899;130;538;3689682;142,6681215
04/04/2020;0:00:00;04/04/2020 0:00;6280;141;370;3689682;149,0372341
05/04/2020;0:00:00;05/04/2020 0:00;6530;158;233;3689682;150,4736723
06/04/2020;0:00:00;06/04/2020 0:00;6706;168;166;3689682;150,148441
07/04/2020;0:00:00;07/04/2020 0:00;7052;186;328;3689682;155,8399884
08/04/2020;0:00:00;08/04/2020 0:00;7386;208;312;3689682;153,9699085
09/04/2020;0:00:00;09/04/2020 0:00;8102;224;700;3689682;163,9165652
10/04/2020;0:00:00;10/04/2020 0:00;8897;240;779;3689682;169,3099839
11/04/2020;0:00:00;11/04/2020 0:00;9264;258;349;3689682;163,0221791
12/04/2020;0:00:00;12/04/2020 0:00;9747;280;461;3689682;162,0193827
13/04/2020;0:00:00;13/04/2020 0:00;9984;303;214;3689682;161,3689201
14/04/2020;0:00:00;14/04/2020 0:00;10302;321;300;3689682;152,0998287
15/04/2020;0:00:00;15/04/2020 0:00;10751;339;431;3689682;151,6932896
16/04/2020;0:00:00;16/04/2020 0:00;11237;355;470;3689682;153,1568303
17/04/2020;0:00:00;17/04/2020 0:00;11324;377;65;3689682;140,3372974
18/04/2020;0:00:00;18/04/2020 0:00;11762;393;422;3689682;141,7466329
19/04/2020;0:00:00;19/04/2020 0:00;12148;409;370;3689682;145,45969
20/04/2020;0:00:00;20/04/2020 0:00;12543;424;380;3689682;151,2596479
21/04/2020;0:00:00;21/04/2020 0:00;12806;441;246;3689682;149,0372341
22/04/2020;0:00:00;22/04/2020 0:00;13150;454;331;3689682;149,5521836
23/04/2020;0:00:00;23/04/2020 0:00;13382;475;211;3689682;136,299009
24/04/2020;0:00:00;24/04/2020 0:00;13707;491;309;3689682;123,5607838
25/04/2020;0:00:00;25/04/2020 0:00;13951;502;233;3689682;120,4168815
26/04/2020;0:00:00;26/04/2020 0:00;14205;519;237;3689682;114,3458976
27/04/2020;0:00:00;27/04/2020 0:00;14315;536;93;3689682;111,0664822
28/04/2020;0:00:00;28/04/2020 0:00;14521;546;196;3689682;108,2478111
29/04/2020;0:00:00;29/04/2020 0:00;14534;556;3;3689682;96,6478954
30/04/2020;0:00:00;30/04/2020 0:00;14726;566;182;3689682;88,84234468
01/05/2020;0:00:00;01/05/2020 0:00;14867;578;129;3689682;90,57691151
02/05/2020;0:00:00;02/05/2020 0:00;14951;585;77;3689682;81,2265122
03/05/2020;0:00:00;03/05/2020 0:00;15021;597;58;3689682;72,77049892
04/05/2020;0:00:00;04/05/2020 0:00;15141;609;108;3689682;65,39858991
05/05/2020;0:00:00;05/05/2020 0:00;15199;613;54;3689682;60,19488942
06/05/2020;0:00:00;06/05/2020 0:00;15256;623;47;3689682;52,49774913
07/05/2020;0:00:00;07/05/2020 0:00;15450;634;183;3689682;51,73887614
08/05/2020;0:00:00;08/05/2020 0:00;15809;639;354;3689682;52,95849344
09/05/2020;0:00:00;09/05/2020 0:00;15854;645;39;3689682;47,70058775
10/05/2020;0:00:00;10/05/2020 0:00;15952;648;95;3689682;43,8520176
11/05/2020;0:00:00;11/05/2020 0:00;16008;651;53;3689682;42,76791333
12/05/2020;0:00:00;12/05/2020 0:00;16053;660;36;3689682;38,43149626
13/05/2020;0:00:00;13/05/2020 0:00;16112;667;52;3689682;39,75952399
14/05/2020;0:00:00;14/05/2020 0:00;16166;674;47;3689682;36,10067209
15/05/2020;0:00:00;15/05/2020 0:00;16214;677;45;3689682;33,82405313
16/05/2020;0:00:00;16/05/2020 0:00;16282;684;61;3689682;33,39041142
17/05/2020;0:00:00;17/05/2020 0:00;16352;693;61;3689682;33,47171924
18/05/2020;0:00:00;18/05/2020 0:00;16396;698;39;3689682;31,60163938
19/05/2020;0:00:00;19/05/2020 0:00;16472;707;67;3689682;31,95397327
20/05/2020;0:00:00;20/05/2020 0:00;16488;713;10;3689682;30,95117682
21/05/2020;0:00:00;21/05/2020 0:00;16540;717;48;3689682;27,29232492
22/05/2020;0:00:00;22/05/2020 0:00;16596;725;48;3689682;18,99892728
23/05/2020;0:00:00;23/05/2020 0:00;16664;732;61;3689682;19,59518463
24/05/2020;0:00:00;24/05/2020 0:00;16678;738;8;3689682;17,23725784
25/05/2020;0:00:00;25/05/2020 0:00;16699;744;15;3689682;16,20735879
26/05/2020;0:00:00;26/05/2020 0:00;16697;752;-10;3689682;14,96063888
27/05/2020;0:00:00;27/05/2020 0:00;16703;755;3;3689682;13,63261116
28/05/2020;0:00:00;28/05/2020 0:00;16718;761;9;3689682;12,6027121
29/05/2020;0:00:00;29/05/2020 0:00;16725;769;-1;3689682;11,3559922
30/05/2020;0:00:00;30/05/2020 0:00;16739;773;10;3689682;9,973759256
31/05/2020;0:00:00;31/05/2020 0:00;16760;784;10;3689682;8,591526316
01/06/2020;0:00:00;01/06/2020 0:00;16760;791;-7;3689682;7,344806409
02/06/2020;0:00:00;02/06/2020 0:00;16789;795;25;3689682;6,206496928
03/06/2020;0:00:00;03/06/2020 0:00;16804;796;14;3689682;6,314907355
04/06/2020;0:00:00;04/06/2020 0:00;16819;801;10;3689682;5,285008302
05/06/2020;0:00:00;05/06/2020 0:00;16834;803;13;3689682;4,336417068
06/06/2020;0:00:00;06/06/2020 0:00;16855;804;20;3689682;3,225210194
07/06/2020;0:00:00;07/06/2020 0:00;16909;806;52;3689682;4,417724888
08/06/2020;0:00:00;08/06/2020 0:00;16948;807;38;3689682;5,041084841
09/06/2020;0:00:00;09/06/2020 0:00;16967;809;17;3689682;5,772855222
10/06/2020;0:00:00;10/06/2020 0:00;16988;809;21;3689682;6,260702142
11/06/2020;0:00:00;11/06/2020 0:00;17007;810;18;3689682;6,504625602
12/06/2020;0:00:00;12/06/2020 0:00;17024;811;16;3689682;6,965369915
13/06/2020;0:00:00;13/06/2020 0:00;17066;812;41;3689682;7,805550722
14/06/2020;0:00:00;14/06/2020 0:00;17078;812;12;3689682;7,859755936
15/06/2020;0:00:00;15/06/2020 0:00;17097;813;18;3689682;8,537321102
16/06/2020;0:00:00;16/06/2020 0:00;17141;813;44;3689682;9,052270629
17/06/2020;0:00:00;17/06/2020 0:00;17179;813;38;3689682;9,702733189
18/06/2020;0:00:00;18/06/2020 0:00;17208;813;29;3689682;10,21768272
19/06/2020;0:00:00;19/06/2020 0:00;17236;813;28;3689682;10,62422182
20/06/2020;0:00:00;20/06/2020 0:00;17242;814;5;3689682;10,21768272
21/06/2020;0:00:00;21/06/2020 0:00;17249;814;7;3689682;8,998065416
22/06/2020;0:00:00;22/06/2020 0:00;17320;814;71;3689682;9,892451436
23/06/2020;0:00:00;23/06/2020 0:00;17329;814;9;3689682;9,675630583
24/06/2020;0:00:00;24/06/2020 0:00;17339;814;10;3689682;9,377501909
25/06/2020;0:00:00;25/06/2020 0:00;17372;815;32;3689682;9,756938403
26/06/2020;0:00:00;26/06/2020 0:00;17441;816;68;3689682;11,16627395
27/06/2020;0:00:00;27/06/2020 0:00;17445;816;4;3689682;10,1634775
28/06/2020;0:00:00;28/06/2020 0:00;17476;816;31;3689682;10,67842703
29/06/2020;0:00:00;29/06/2020 0:00;17501;817;24;3689682;10,84104267
30/06/2020;0:00:00;30/06/2020 0:00;17521;818;19;3689682;10,1634775
01/07/2020;0:00:00;01/07/2020 0:00;17585;819;63;3689682;10,84104267
02/07/2020;0:00:00;02/07/2020 0:00;17624;819;39;3689682;11,11206874
03/07/2020;0:00:00;03/07/2020 0:00;17664;819;40;3689682;11,43730002
04/07/2020;0:00:00;04/07/2020 0:00;17723;819;59;3689682;12,90084078
05/07/2020;0:00:00;05/07/2020 0:00;17748;819;25;3689682;13,3886877
06/07/2020;0:00:00;06/07/2020 0:00;17766;820;17;3689682;11,92514694
07/07/2020;0:00:00;07/07/2020 0:00;17823;821;56;3689682;13,19896945
08/07/2020;0:00:00;08/07/2020 0:00;17900;821;77;3689682;15,0148441
09/07/2020;0:00:00;09/07/2020 0:00;17957;821;57;3689682;15,69240926
10/07/2020;0:00:00;10/07/2020 0:00;18001;821;44;3689682;15,0419467
11/07/2020;0:00:00;11/07/2020 0:00;18068;821;67;3689682;16,74941092
12/07/2020;0:00:00;12/07/2020 0:00;18109;822;40;3689682;16,99333438
13/07/2020;0:00:00;13/07/2020 0:00;18142;823;32;3689682;17,21015524
14/07/2020;0:00:00;14/07/2020 0:00;18184;823;42;3689682;17,83351519
15/07/2020;0:00:00;15/07/2020 0:00;18215;826;28;3689682;16,88492396
16/07/2020;0:00:00;16/07/2020 0:00;18253;826;38;3689682;16,85782135
17/07/2020;0:00:00;17/07/2020 0:00;18293;827;39;3689682;16,83071874
18/07/2020;0:00:00;18/07/2020 0:00;18328;827;35;3689682;16,18025618
19/07/2020;0:00:00;19/07/2020 0:00;18338;827;10;3689682;15,77371708
20/07/2020;0:00:00;20/07/2020 0:00;18356;827;18;3689682;15,80081969
21/07/2020;0:00:00;21/07/2020 0:00;18372;827;16;3689682;14,71671542
22/07/2020;0:00:00;22/07/2020 0:00;18390;827;18;3689682;13,11766163
23/07/2020;0:00:00;23/07/2020 0:00;18415;828;24;3689682;12,22327561
24/07/2020;0:00:00;24/07/2020 0:00;18441;828;26;3689682;11,73542869
25/07/2020;0:00:00;25/07/2020 0:00;18487;828;46;3689682;11,16627395
26/07/2020;0:00:00;26/07/2020 0:00;18503;828;16;3689682;10,51581139
27/07/2020;0:00:00;27/07/2020 0:00;18525;828;22;3689682;10,24478532
28/07/2020;0:00:00;28/07/2020 0:00;18549;828;24;3689682;9,756938403
29/07/2020;0:00:00;29/07/2020 0:00;18585;828;36;3689682;9,973759256
30/07/2020;0:00:00;30/07/2020 0:00;18626;828;41;3689682;10,05506708
31/07/2020;0:00:00;31/07/2020 0:00;18675;828;49;3689682;10,32609314
01/08/2020;0:00:00;01/08/2020 0:00;18742;828;67;3689682;11,19337656
02/08/2020;0:00:00;02/08/2020 0:00;18780;828;38;3689682;11,95224954
03/08/2020;0:00:00;03/08/2020 0:00;18797;828;17;3689682;11,92514694
04/08/2020;0:00:00;04/08/2020 0:00;18816;829;18;3689682;11,97935215
05/08/2020;0:00:00;05/08/2020 0:00;18854;829;38;3689682;12,52140428
06/08/2020;0:00:00;06/08/2020 0:00;18891;831;35;3689682;12,81953296
07/08/2020;0:00:00;07/08/2020 0:00;18952;831;61;3689682;13,76812419
